TimeStamp,ECG,PPG,
21:36:03,0.0,-17285.0,0.0
21:36:03,1.0,-17347.0,0.0
21:36:03,0.0,-17399.0,0.0
21:36:03,-1.0,-17410.0,0.0
21:36:03,-1.0,-17490.0,0.0
21:36:03,-2.0,-17346.0,0.0
21:36:03,-1.0,-17298.0,0.0
21:36:03,-1.0,-17297.0,0.0
21:36:03,-2.0,-17317.0,0.0
21:36:03,-2.0,-17289.0,0.0
21:36:03,1.0,-17261.0,0.0
21:36:03,4.0,-17296.0,0.0
21:36:03,4.0,-17400.0,0.0
21:36:03,1.0,-17299.0,0.0
21:36:03,1.0,-17393.0,0.0
21:36:03,2.0,-17366.0,0.0
21:36:03,1.0,-17409.0,0.0
21:36:03,0.0,-17390.0,0.0
21:36:03,1.0,-17266.0,0.0
21:36:03,2.0,-17379.0,0.0
21:36:03,-2.0,-17347.0,0.0
21:36:03,-4.0,-17304.0,0.0
21:36:03,1.0,-17202.0,0.0
21:36:03,3.0,-17218.0,0.0
21:36:03,0.0,-17284.0,0.0
21:36:03,-1.0,-17286.0,0.0
21:36:03,1.0,-17305.0,0.0
21:36:03,-2.0,-17235.0,0.0
21:36:03,-2.0,-17283.0,0.0
21:36:03,2.0,-17247.0,0.0
21:36:03,3.0,-17207.0,0.0
21:36:03,11.0,-17372.0,0.0
21:36:03,33.0,-17417.0,0.0
21:36:03,29.0,-17419.0,0.0
21:36:03,-22.0,-17349.0,0.0
21:36:03,-70.0,-17251.0,0.0
21:36:03,-69.0,-17253.0,0.0
21:36:03,-43.0,-17334.0,0.0
21:36:03,-27.0,-17157.0,0.0
21:36:03,-15.0,-17307.0,0.0
21:36:03,-3.0,-17163.0,0.0
21:36:03,2.0,-17189.0,0.0
21:36:03,3.0,-17220.0,0.0
21:36:03,7.0,-17460.0,0.0
21:36:03,7.0,-17413.0,0.0
21:36:03,5.0,-17364.0,0.0
21:36:03,7.0,-17405.0,0.0
21:36:03,9.0,-17280.0,0.0
21:36:03,14.0,-17202.0,0.0
21:36:03,27.0,-17284.0,0.0
21:36:03,37.0,-17294.0,0.0
21:36:03,31.0,-17329.0,0.0
21:36:03,23.0,-17303.0,0.0
21:36:03,24.0,-17265.0,0.0
21:36:03,28.0,-17354.0,0.0
21:36:03,30.0,-17266.0,0.0
21:36:03,29.0,-17209.0,0.0
21:36:04,28.0,-17325.0,0.0
21:36:04,28.0,-17388.0,0.0
21:36:04,30.0,-17287.0,0.0
21:36:04,32.0,-17224.0,0.0
21:36:04,33.0,-17234.0,0.0
21:36:04,35.0,-17217.0,0.0
21:36:04,36.0,-17119.0,0.0
21:36:04,37.0,-17197.0,0.0
21:36:04,39.0,-17185.0,0.0
21:36:04,39.0,-17154.0,0.0
21:36:04,37.0,-17234.0,0.0
21:36:04,36.0,-17248.0,0.0
21:36:04,34.0,-17272.0,0.0
21:36:04,28.0,-17159.0,0.0
21:36:04,22.0,-17163.0,0.0
21:36:04,20.0,-17202.0,0.0
21:36:04,18.0,-17177.0,0.0
21:36:04,11.0,-17215.0,0.0
21:36:04,4.0,-17205.0,0.0
21:36:04,3.0,-17160.0,0.0
21:36:04,0.0,-17140.0,0.0
21:36:04,-7.0,-17120.0,0.0
21:36:04,-7.0,-17179.0,0.0
21:36:04,-4.0,-17015.0,0.0
21:36:04,-5.0,-17067.0,0.0
21:36:04,-10.0,-17349.0,0.0
21:36:04,-11.0,-17447.0,0.0
21:36:04,-4.0,-17373.0,0.0
21:36:04,0.0,-17344.0,0.0
21:36:04,-1.0,-17356.0,0.0
21:36:04,-3.0,-17252.0,0.0
21:36:04,-3.0,-17227.0,0.0
21:36:04,-3.0,-17404.0,0.0
21:36:04,-4.0,-17399.0,0.0
21:36:04,-6.0,-17302.0,0.0
21:36:04,-9.0,-17304.0,0.0
21:36:04,-11.0,-17269.0,0.0
21:36:04,-8.0,-17295.0,0.0
21:36:04,-5.0,-17274.0,0.0
21:36:04,-8.0,-17334.0,0.0
21:36:04,-10.0,-17340.0,0.0
21:36:04,-6.0,-17282.0,0.0
21:36:04,-4.0,-17314.0,0.0
21:36:04,-6.0,-17310.0,0.0
21:36:04,-3.0,-17332.0,0.0
21:36:04,2.0,-17320.0,0.0
21:36:04,-3.0,-17392.0,0.0
21:36:04,-9.0,-17299.0,0.0
21:36:04,-7.0,-17260.0,0.0
21:36:04,-3.0,-17254.0,0.0
